	score1	score2	score3	score4
datum6	10.234	13.836	11.426	426.797
datum7	5.164	13.947	13.982	33.661
datum8	6.383	7.714	13.456	21.934
datum9	14.820	14.229	15.371	24.321
datum10	2.536	8.348	15.412	32.036
datum11	7.170	9.301	19.022	48.800
datum12	11.786	10.447	17.501	288.791
datum5_winner	302.505	150.483	1952.222	1119.167
datum13	14.438	3.289	10.083	30.092
datum14	8.898	5.538	12.530	27.300
datum15	19.512	13.742	12.792	21.480
datum16	2.239	16.706	11.119	413.697
datum17	4.205	3.888	11.379	38.939
datum18	0.324	15.857	12.784	34.820
datum19	18.520	10.810	15.471	78.653
datum20	3.276	15.318	12.040	20.198
datum1_winner	51.123	187.342	1290.674	36769.698
datum21	0.685	10.402	12.167	2367.080
datum22	2.770	1.404	13.232	28.260
datum23	0.765	11.904	10.458	59.597
datum24	16.323	0.759	15.473	80.292
datum25	19.640	5.079	17.191	114.785
datum26	15.147	11.645	19.974	63.341
datum27	8.470	9.897	12.083	97.135
datum28	11.114	6.900	19.825	20.423
datum29	11.807	9.795	14.173	23.065
datum30	18.378	14.121	10.235	28.289
datum31	10.830	14.711	11.214	34.826
datum32	14.482	7.195	12.848	22.821
datum33	1.457	5.757	11.965	44.669
datum34	7.875	3.277	11.812	27.037
datum35	11.398	2.460	12.283	50.736
datum4_winner	209.139	812.053	1042.860	3307.762
datum36	1.384	16.131	19.017	804.138
datum37	8.736	3.399	18.138	774.798
datum38	1.967	2.692	13.599	51.915
datum39	9.635	7.505	19.159	38.970
datum40	6.320	10.574	14.961	43.228
datum41	13.196	1.943	11.095	20.295
datum42	12.756	13.228	19.444	25.741
datum43	14.400	14.947	13.746	38.387
datum44	12.740	9.777	15.025	35.238
datum45	2.202	14.090	16.563	30.580
datum46	8.953	8.708	10.854	31.932
datum47	8.006	12.979	12.891	34.573
datum48	9.060	13.699	10.278	20.947
datum49	1.063	13.683	16.538	69.327
datum50	12.263	3.547	16.526	48.888
datum51	11.151	14.156	10.654	120.980
datum52	2.534	6.600	17.064	522.573
datum53	19.067	11.198	11.877	29.773
datum54	3.027	14.397	15.420	58.887
datum55	1.277	5.191	14.561	49.595
datum56	7.213	3.787	16.317	37.972
datum57	8.858	1.672	18.143	88.115
datum58	2.942	5.076	14.871	31.536
datum59	13.139	2.771	15.693	38.166
datum60	13.527	3.055	17.090	45.312
datum61	2.023	10.742	12.732	51.697
datum62	1.451	0.213	11.014	25.283
datum63	11.120	4.214	18.147	177.016
datum64	7.656	2.227	10.921	32.683
datum65	4.339	13.703	11.698	60.309
datum66	16.185	3.652	12.111	24.764
datum67	13.994	10.457	14.654	157.052
datum68	12.494	11.531	12.530	26.851
datum69	1.837	1.472	12.601	22.814
datum70	19.924	1.626	18.676	20.917
datum71	9.710	2.448	19.110	24.400
datum72	11.059	16.177	16.970	133.201
datum73	16.552	5.785	15.895	20.247
datum74	2.532	16.212	12.985	27.660
datum75	6.661	7.494	13.451	349.216
datum76	15.722	16.377	17.490	70.037
datum77	16.067	2.089	15.089	21.782
datum78	15.331	5.580	12.403	21.516
datum79	17.275	12.405	16.808	104.925
datum80	4.192	10.480	11.505	39.758
datum81	18.952	13.306	14.142	30.802
datum82	10.565	5.323	12.950	56.353
datum83	0.581	3.330	12.855	21.684
datum84	17.066	14.316	11.271	26.149
datum85	10.571	7.883	13.051	119.956
datum86	18.962	13.074	11.445	109.906
datum87	19.357	4.350	11.277	27.504
datum2_winner	831.263	39.031	1023.151	1418.738
datum88	4.294	15.848	11.938	33.254
datum89	9.925	8.804	11.689	30.743
datum90	16.898	8.540	14.733	20.606
datum91	13.489	7.752	12.713	40.394
datum92	18.593	9.051	13.140	32.588
datum93	6.838	12.420	19.460	21.819
datum94	5.468	14.326	16.702	40.844
datum95	4.270	14.798	14.779	4586.754
datum3_winner	806.411	782.751	1671.403	1014.266
datum96	18.639	1.441	11.703	93.292
datum97	14.416	11.945	11.767	40.136
datum98	8.107	11.464	16.575	69.596
datum99	15.505	3.262	10.861	44.628
datum100	3.876	9.904	10.519	30.063
datum101	15.065	9.058	12.540	48.710
datum102	0.527	4.278	11.697	42.150
datum103	3.325	0.743	16.084	32.285
datum104	8.544	16.216	15.149	37.518
datum105	12.805	16.776	17.170	26.205
datum106	6.339	15.647	12.679	56.171
datum107	19.097	15.034	14.042	40.274
datum108	8.463	9.702	12.195	32.803
datum109	13.374	2.463	10.691	64.137
datum110	18.123	16.463	10.526	35.853
datum111	4.229	16.497	11.015	52.098
datum112	6.253	16.343	11.580	44.700
datum113	19.488	11.441	12.543	27.652
datum114	8.725	10.683	12.208	91.289
datum115	13.842	11.014	10.773	23.267
datum116	2.399	5.965	10.167	39.584
datum117	0.866	8.744	19.963	99.770
datum118	19.759	5.459	18.421	22.156
datum119	0.392	10.835	13.548	23.719
datum120	14.372	13.186	16.816	383.332
datum121	14.969	2.326	15.539	31.712
datum122	19.823	1.107	13.432	57.414
datum123	5.349	11.263	14.487	83.870
datum124	12.255	8.423	12.894	45.628
datum125	17.904	4.395	10.659	117.665
datum126	11.280	3.218	12.943	644.921
datum127	9.178	0.396	10.681	47.542
datum128	6.618	16.362	19.983	28.326
datum129	12.154	15.345	15.262	23.390
datum130	10.241	11.571	16.278	26.141
datum131	19.321	13.007	16.951	20.598
datum132	11.487	13.341	19.566	87.623
datum133	8.159	16.095	13.331	119.232
datum134	19.220	4.368	13.407	46.774
datum135	12.827	11.549	11.510	130.246
datum136	5.371	16.411	13.434	44.878
datum137	3.283	13.036	10.426	298.923
datum138	7.371	0.986	18.651	117.182
datum139	8.457	8.023	12.442	150.808
datum140	17.883	13.641	15.538	257.247
datum141	1.895	6.038	11.332	51.036
datum142	2.788	8.326	13.367	25.297
datum143	7.640	12.807	12.678	2181.885
datum144	8.650	14.976	12.513	33.833
datum145	13.353	5.375	12.577	268.848
datum146	14.982	13.326	13.193	252.777
datum147	17.758	12.557	19.713	135.765
datum148	19.184	12.832	10.973	35.189
datum149	11.375	15.761	14.245	228.673
datum150	9.775	14.849	19.282	509.081
datum151	11.254	11.771	12.221	850.034
datum152	17.872	1.355	15.776	23.902
datum153	16.769	12.500	15.101	44.232
datum154	19.163	5.896	12.939	73.181
datum155	4.398	13.585	11.196	41.203
datum156	5.846	16.055	10.332	29.893
datum157	1.771	16.199	16.190	66.925
datum158	2.051	16.149	10.831	204.466
datum159	9.472	6.816	15.991	23.404
datum160	14.200	15.314	11.580	292.607
datum161	0.573	12.637	12.844	25.442
datum162	9.941	4.544	17.974	39.839
datum163	5.262	2.574	19.999	184.652
datum164	2.494	4.267	11.913	68.150
datum165	7.154	12.029	13.739	94.364
datum166	15.762	0.620	13.346	210.341
datum167	15.369	14.430	18.486	62.822
datum168	14.647	15.999	10.609	83.990
datum169	8.292	2.822	13.543	31.112
datum170	15.780	3.370	12.814	24.508
datum171	1.253	1.553	17.714	456.275
datum172	3.966	6.941	12.816	132.977
datum173	4.728	15.283	15.818	32.219
datum174	5.377	0.191	18.241	173.954
datum175	18.937	0.362	15.643	25.510
datum176	7.791	14.507	18.982	34.937
datum177	11.628	11.178	11.687	21.433
datum178	1.731	10.803	13.040	45.949
datum179	15.047	16.023	13.413	31.917
datum180	6.524	10.962	11.992	82.095
datum181	15.179	13.065	17.400	946.604
datum182	16.508	10.269	11.840	534.761
datum183	4.289	8.311	17.780	29.749
datum184	5.214	6.593	17.365	47.213
datum185	7.411	0.854	17.949	33.518
datum186	5.562	13.607	12.418	43.501
datum187	1.337	16.754	11.736	22.191
datum188	15.606	0.775	10.924	27.043
datum189	4.318	14.170	10.551	10119.534
datum190	6.235	12.544	13.716	39.962
datum191	17.854	4.562	10.527	84.455
datum192	3.921	15.842	14.460	339.198
datum193	10.524	13.281	15.963	24.135
datum194	6.858	12.908	14.687	44.722
datum195	8.214	11.220	12.897	45.250
datum196	14.590	4.911	19.427	24.628
datum197	0.653	0.109	10.668	20.507
datum198	4.684	3.749	13.974	3392.263
datum199	2.082	3.158	19.158	144.359
datum200	3.627	4.572	18.221	39.106
datum201	1.048	15.977	17.443	2751.809
datum202	4.533	0.082	15.094	82.223
datum203	15.274	6.185	11.495	26.245
datum204	8.225	5.419	10.736	20.748
datum205	2.472	6.396	13.765	94.048
